pmt_id,channel_id,pmt_in_tpc_plane,pmt_sn,sector_label,ch_number,pmt_position_code,hv_cable_label,signal_cable_label,light_fiber_label,digitizer_label,digitizer_ch_number,hv_supply_label,hv_supply_ch_number,match_ch_sy1527
1,359,WW,FB0218,1L-1,7,1,B23-07,A10-07,1,WW-Top-A,7,PMT1-RA1,7,8
2,358,WW,FB0193,1L-1,9,2,B23-09,A10-09,1,WW-Top-A,2,PMT1-RA1,9,10
3,357,WW,FB0228,1L-1,6,3,B23-06,A10-06,1,WW-Top-A,8,PMT1-RA1,6,7
4,356,WW,FB0216,1L-1,8,4,B23-08,A10-08,1,WW-Top-A,13,PMT1-RA1,8,9
5,355,WW,FB0177,1L-1,10,5,B23-10,A10-10,1,WW-Top-A,1,PMT1-RA1,10,11
6,354,WW,FB0178,1L-1,1,6,B23-01,A10-01,1,WW-Top-A,10,PMT1-RA1,1,2
7,353,WW,FB0163,1L-1,3,7,B23-03,A10-03,1,WW-Top-A,14,PMT1-RA1,3,4
8,352,WW,FB0180,1L-1,2,8,B23-02,A10-02,1,WW-Top-A,3,PMT1-RA1,2,3
9,351,WW,FB0181,1L-1,5,9,B23-05,A10-05,1,WW-Top-A,9,PMT1-RA1,5,6
10,350,WW,FB0158,1L-1,4,10,B23-04,A10-04,1,WW-Top-A,4,PMT1-RA1,4,5
11,349,WW,FB0182,1L-2,7,1,B29-07,A33-07,2,WW-Top-A,11,PMT1-RA1,17,18
12,348,WW,FB0190,1L-2,9,2,B29-09,A33-09,2,WW-Top-A,6,PMT1-RA1,19,20
13,347,WW,FB0194,1L-2,6,3,B29-06,A33-06,2,WW-Top-A,12,PMT1-RA1,16,17
14,346,WW,FB0174,1L-2,8,4,B29-08,A33-08,2,WW-Top-A,15,PMT1-RA1,18,19
15,345,WW,FB0154,1L-2,10,5,B29-10,A33-10,2,WW-Top-A,5,PMT1-RA1,20,21
16,344,WW,FB0191,1L-2,1,6,B29-01,A33-01,2,WW-Top-B,8,PMT1-RA1,11,12
17,343,WW,FB0173,1L-2,3,7,B29-03,A33-03,2,WW-Top-B,15,PMT1-RA1,13,14
18,342,WW,FB0254,1L-2,2,8,B29-02,A33-02,2,WW-Top-B,1,PMT1-RA1,12,13
19,341,WW,FB0229,1L-2,5,9,B29-05,A33-05,2,WW-Top-B,7,PMT1-RA1,15,16
20,340,WW,FB0206,1L-2,4,10,B29-04,A33-04,2,WW-Top-B,2,PMT1-RA1,14,15
21,339,WW,FB0025,1L-3,7,1,B26-07,A13-07,3,WW-Top-B,9,PMT1-RA1,27,28
22,338,WW,FB0207,1L-3,9,2,B26-09,A13-09,3,WW-Top-B,4,PMT1-RA1,29,30
23,337,WW,FB0230,1L-3,6,3,B26-06,A13-06,3,WW-Top-B,10,PMT1-RA1,26,27
24,336,WW,FB0248,1L-3,8,4,B26-08,A13-08,3,WW-Top-B,13,PMT1-RA1,28,29
25,335,WW,FB0171,1L-3,10,5,B26-10,A13-10,3,WW-Top-B,3,PMT1-RA1,30,31
26,334,WW,FB0188,1L-3,1,6,B26-01,A13-01,3,WW-Top-B,12,PMT1-RA1,21,22
27,333,WW,FB0212,1L-3,3,7,B26-03,A13-03,3,WW-Top-B,14,PMT1-RA1,23,24
28,332,WW,FB0167,1L-3,2,8,B26-02,A13-02,3,WW-Top-B,5,PMT1-RA1,22,23
29,331,WW,FB0209,1L-3,5,9,B26-05,A13-05,3,WW-Top-B,11,PMT1-RA1,25,26
30,330,WW,FB0201,1L-3,4,10,B26-04,A13-04,3,WW-Top-B,6,PMT1-RA1,24,25
31,329,WW,FB0231,1L-4,7,1,B36-07,A19-07,4,WW-Top-C,7,PMT1-RA1,37,38
32,328,WW,FB0239,1L-4,9,2,B36-09,A19-09,4,WW-Top-C,2,PMT1-RA1,39,40
33,327,WW,FB0261,1L-4,6,3,B36-06,A19-06,4,WW-Top-C,8,PMT1-RA1,36,37
34,326,WW,FB0232,1L-4,8,4,B36-08,A19-08,4,WW-Top-C,13,PMT1-RA1,38,39
35,325,WW,FB0157,1L-4,10,5,B36-10,A19-10,4,WW-Top-C,1,PMT1-RA1,40,41
36,324,WW,FB0170,1L-4,1,6,B36-01,A19-01,4,WW-Top-C,10,PMT1-RA1,31,32
37,323,WW,FB0214,1L-4,3,7,B36-03,A19-03,4,WW-Top-C,14,PMT1-RA1,33,34
38,322,WW,FB0150,1L-4,5,8,B36-05,A19-05,4,WW-Top-C,3,PMT1-RA1,35,36
39,321,WW,FB0237,1L-4,2,9,B36-02,A19-02,4,WW-Top-C,9,PMT1-RA1,32,33
40,320,WW,FB0251,1L-4,4,10,B36-04,A19-04,4,WW-Top-C,4,PMT1-RA1,34,35
41,319,WW,FB0196,1L-5,7,1,B01-07,A30-07,5,WW-Top-C,11,PMT1-RA2,42,43
42,318,WW,FB0256,1L-5,9,2,B01-09,A30-09,5,WW-Top-C,6,PMT1-RA2,44,45
43,317,WW,FB0144,1L-5,6,3,B01-06,A30-06,5,WW-Top-C,12,PMT1-RA2,41,42
44,316,WW,FB0249,1L-5,8,4,B01-08,A30-08,5,WW-Top-C,15,PMT1-RA2,43,44
45,315,WW,FB0153,1L-5,10,5,B01-10,A30-10,5,WW-Top-C,5,PMT1-RA2,45,46
