# Cryostat OpDet X Y Z
0 0 -59.36 29.35 872.9
0 1 -381.07 29.35 872.9
0 2 -59.36 -76.25 872.9
0 3 -381.07 -76.25 872.9
0 4 -59.36 82.15 823.02
0 5 -381.07 82.15 823.02
0 6 -59.36 -23.45 823.02
0 7 -381.07 -23.45 823.02
0 8 -59.36 -129.05 823.02
0 9 -381.07 -129.05 823.02
0 10 -59.36 82.15 773.14
0 11 -381.07 82.15 773.14
0 12 -59.36 -23.45 773.14
0 13 -381.07 -23.45 773.14
0 14 -59.36 -129.05 773.14
0 15 -381.07 -129.05 773.14
0 16 -59.36 29.35 723.26
0 17 -381.07 29.35 723.26
0 18 -59.36 -76.25 723.26
0 19 -381.07 -76.25 723.26
0 20 -59.36 29.35 673.38
0 21 -381.07 29.35 673.38
0 22 -59.36 -76.25 673.38
0 23 -381.07 -76.25 673.38
0 24 -59.36 82.15 623.5
0 25 -381.07 82.15 623.5
0 26 -59.36 -23.45 623.5
0 27 -381.07 -23.45 623.5
0 28 -59.36 -129.05 623.5
0 29 -381.07 -129.05 623.5
0 30 -59.36 82.15 573.62
0 31 -381.07 82.15 573.62
0 32 -59.36 -23.45 573.62
0 33 -381.07 -23.45 573.62
0 34 -59.36 -129.05 573.62
0 35 -381.07 -129.05 573.62
0 36 -59.36 29.35 523.74
0 37 -381.07 29.35 523.74
0 38 -59.36 -76.25 523.74
0 39 -381.07 -76.25 523.74
0 40 -59.36 29.35 473.86
0 41 -381.07 29.35 473.86
0 42 -59.36 -76.25 473.86
0 43 -381.07 -76.25 473.86
0 44 -59.36 82.15 423.98
0 45 -381.07 82.15 423.98
0 46 -59.36 -23.45 423.98
0 47 -381.07 -23.45 423.98
0 48 -59.36 -129.05 423.98
0 49 -381.07 -129.05 423.98
0 50 -59.36 82.15 374.1
0 51 -381.07 82.15 374.1
0 52 -59.36 -23.45 374.1
0 53 -381.07 -23.45 374.1
0 54 -59.36 -129.05 374.1
0 55 -381.07 -129.05 374.1
0 56 -59.36 29.35 324.22
0 57 -381.07 29.35 324.22
0 58 -59.36 -76.25 324.22
0 59 -381.07 -76.25 324.22
0 60 -59.36 29.35 274.34
0 61 -381.07 29.35 274.34
0 62 -59.36 -76.25 274.34
0 63 -381.07 -76.25 274.34
0 64 -59.36 82.15 224.46
0 65 -381.07 82.15 224.46
0 66 -59.36 -23.45 224.46
0 67 -381.07 -23.45 224.46
0 68 -59.36 -129.05 224.46
0 69 -381.07 -129.05 224.46
0 70 -59.36 82.15 174.58
0 71 -381.07 82.15 174.58
0 72 -59.36 -23.45 174.58
0 73 -381.07 -23.45 174.58
0 74 -59.36 -129.05 174.58
0 75 -381.07 -129.05 174.58
